id,tag_id,tag,post_date,title,anonymous,kmeans,content,user_id,username,displayed_name,certified,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19,post_id,tag_id,good,early,age,url
4,0,お花見、春,12/10/2023,「上司にブチ切れ！」「手作り弁当で食中毒」……花見での失敗エピソード 5.txt,TRUE,0,「大学時代に、サークル仲間と行った花見でのこと。サークル内では『女子力高い』で通っていた私は、当日、お重にちらし寿司を詰めて持っていきました。しかし、食材が痛んでいたようで、食べた人が見事にお腹を壊しました。しかも特製の甘酒はまずかったようで全然飲んでくれなかったし……。せっかく築き上げたイメージが一気に崩れた最悪の日でした」（28歳・女性・出版関係）,0,admin,Admin,TRUE,0.11265459,-0.06074623,0.01022747,-0.012519787,0.035676207,-0.071352676,-0.20960692,0.11531279,0.1402655,0.15386601,0.18098108,-0.008290573,0.07371701,-0.026516918,-0.016283836,-0.07889968,-0.17531812,0.18079019,-0.16883965,-0.0614417,4,0,0,0,28,/posts/post_id/4
35,1,キャンプ,26/3/2023,【飯関係多め？】31.9％が、キャンプでの失敗談が「ある」 どのような失敗が多い？1.txt,TRUE,0,飯盒でご飯を炊いていて、ご飯がまっ黒焦げになってしまいました…。カレーだけ食べるはめになりました…。（50代・女性）,0,admin,Admin,TRUE,0.07194783,0.03160241,0.26124674,-0.08564351,0.08512959,-0.07511769,-0.19897139,0.10569148,0.041367646,-0.06434578,0.094080634,0.048518214,0.1996469,-0.076903045,0.044108316,-0.064800486,-0.11358937,0.065219685,-0.080268614,0.04741603,35,1,0,0,29,/posts/post_id/35
37,1,キャンプ,28/1/2023,【飯関係多め？】31.9％が、キャンプでの失敗談が「ある」 どのような失敗が多い？2.txt,TRUE,0,"包丁を忘れたので、食材をハサミで切ったりちぎって完成させた（30代・女性）
",0,admin,Admin,TRUE,0.08779024,0.03998115,0.33123517,-0.091431,0.1064548,-0.1714522,-0.24235463,0.21948767,0.13106805,-0.052019853,0.08551541,0.0673192,0.27277005,-0.09563619,0.012642378,0.000844728,-0.25929523,0.22882293,-0.19618128,-0.003282244,37,1,0,0,21,/posts/post_id/37
43,1,キャンプ,14/5/2023,【飯関係多め？】31.9％が、キャンプでの失敗談が「ある」 どのような失敗が多い？8.txt,TRUE,0,タンドリーチキンの仕込みをして持っていったら保冷剤を忘れて肉が腐ってしまった。（50代・女性）,0,admin,Admin,TRUE,0.07081048,0.039479077,0.27176943,-0.090667985,0.078964114,-0.07855655,-0.20023564,0.15472022,0.11162328,-0.009687524,0.1083827,0.048424408,0.22357705,-0.06887257,0.044724755,0.009171591,-0.07341855,0.015543336,-0.059388317,0.1560286,43,1,0,0,29,/posts/post_id/43
45,1,キャンプ,6/10/2023,【飯関係多め？】31.9％が、キャンプでの失敗談が「ある」 どのような失敗が多い？7.txt,TRUE,0,炭でバーベキューをしたが、扱いに慣れていないので一度目は火力が強すぎて食材が焦げ、二度目は弱すぎていつまでたっても焼けなかった（50代・女性）,0,admin,Admin,TRUE,0.10481774,0.003631362,0.28613824,-0.090711996,0.107999645,-0.113087036,-0.215708,0.1591766,0.07543357,-0.025566213,0.12158429,0.045829315,0.3146944,-0.13500294,0.001540514,-0.0171171,-0.27559412,0.31964478,-0.26081508,-0.016206827,45,1,0,0,29,/posts/post_id/45
49,1,キャンプ,25/2/2023,【飯関係多め？】31.9％が、キャンプでの失敗談が「ある」 どのような失敗が多い？5.txt,TRUE,0,晩御飯、炭に火がうまくつかず食べるまでに1時間半かかった、またついた後は辺りが暗くなっていてバーベキューの食材のイカがうまく焼けたか確認できないまま生で食べてしまった。（30代・男性）,0,admin,Admin,TRUE,0.10016966,-0.040297925,0.26994425,-0.02181576,-0.038663592,0.007533073,-0.009497273,0.005346734,-0.026462141,-0.053851318,0.14510155,0.013336894,0.3090718,-0.10846298,0.022043653,0.03347844,-0.17529501,0.30101398,-0.20535915,-0.10106669,49,1,0,0,28,/posts/post_id/49
19,5,高校生活,1/4/2023,「やっちゃった……」今だから言える高校生の大失敗エピソード6.txt,TRUE,1,"高校入学後一発目のテストで、大失敗
私は入学式の翌日のテストで大失敗しています。高校に合格して気を抜いていたのか、学年順位が散々でした。240人の学年で、数学は下から数えた方が早かったです。
さすがに焦りを感じて挽回しようと思い、授業で発表をしまくるも、的外れな解答ばかり発言してしまいました。クラスのみんなは笑っていましたが、先生はあきれていました。
「やる気を出そうとしても空回りすることもあるんだなぁ」と思いました。それからは猛勉強してみんなに追いつき、今何とか卒業できることになりました。ほんとうに良かったです。(かんちゃん＝3年)
",0,admin,Admin,TRUE,0.12525493,-0.11417508,-0.05108894,-0.13208933,-0.013768354,0.1396613,-0.025281498,-0.022392439,-0.066381566,-0.06238844,0.20667769,-0.056348637,-0.078845054,-0.12212122,0.15179938,-0.124732584,0.14889565,-0.027480446,0.043432437,0.011596823,19,5,0,0,29,/posts/post_id/19
32,8,進路,11/2/2023,こんな大学の決め方は絶対NG！先輩が語る、進路選択の後悔体験談2.txt,TRUE,1,"英語は好きなんだけど…
私が英米文学専攻に進学した理由は、とても単純で「英語が好きだから」でした。実際に大学に入学してみると、確かに英語を使う講義が多く、扱う文学作品もレベルの高いものばかり。しかし、私は読書に興味がなく、文学よりも英会話を学ぶことへの期待が大きかったため、進学前のイメージとは異なる講義の内容にがっくりと落胆してしまいました。本当に興味がある学びは何か、将来やりたいことは何か、そこまで考えてオープンキャンパスに参加したり、大学パンフレットを見たりするべきです。「なんとなく」で学部を決めずに、講義の内容までしっかり調べることをオススメします。
",0,admin,Admin,TRUE,0.09907702,-0.10613205,-0.054314096,0.013051559,-0.14344297,0.061020143,-0.12677534,-0.1508933,0.123309046,0.174643,0.19761892,-0.08259538,-0.07193211,0.026263136,0.18778574,0.01895915,-0.053390156,-0.07617261,-0.18074813,0.18598264,32,8,0,0,24,/posts/post_id/32
38,4,大学生活,21/1/2023,【新大学生必見】これだけはやるな！入学直後の失敗談とそこから学ぶ教訓6選.txt,TRUE,1,"①大学受験の結果を自慢気に話してしまった
・共通テストの点数や他にどこの大学に受かったのかについて話したら、相手に上手く話をそらされ、その時に自慢げに話していた自分に気がついた。
・「俺東大落ちなんだよね(どや)」と言われたが、結局同じ大学なのにそんなにマウントを取りたいのか、と引いてしまった。
・「私推薦だから頭良くないの」と言われ、遠回しに大学を卑下されたように感じた。②：友だちとの距離感の詰め方が上手くいかなかった
・おしとやかな子ばかりの大学なのに、賑やかな出身高校のテンションで大きな声で汚い言葉を言ってしまい、教室がシーンとなった。
・消極的になりすぎて友だちがまったくできなかった。
・キャラを無理矢理を作ろうとしたが、数カ月でそんな自分に疲れてしまいやめた。③：格好を派手にしすぎた
・派手めな水色のカバンで新入生説明会を受けていたのにも関わらず爆睡してしまって目立ってしまった。
・違う大学に通う友だちとノリで金髪にしたら、自分の大学は最初はわりとみんな黒髪で浮いてしまった。・メイク頑張りすぎて顔が白すぎた。
④：スケジュールを詰め込みすぎた
・大学入学前からアルバイトを始め、入学時点でのアルバイトのシフトを入れすぎたせいで大学でできた友だちと遊びに行く時間がなかなか取れなかった。
・サークル選びが不安であまりにもたくさんの新歓イベントに参加した結果、かなり忙しくて講義の課題などがおざなりになってしまった。⑤：不注意でミスをしてしまった
・大学サイトのログイン情報が書かれた紙をなくし、その日はログインできず、履修登録が遅れた。
・大学の教室になかなかたどり着けずに初日から遅刻した。
・初日に持参しなければいけない提出物を根こそぎ忘れて、クラスのみんなの前で名前を呼ばれて恥ずかしかった。⑥：大学ならではの恩恵を受けそびれた
・ノートパソコンや本など大学で買えば安く買えたのに、入学前に自分で買ってしまって後悔した。
・入試直後すぐに車の教習に通い始めたが、大学に入って生協から申し込んだ方が安くすんだことに気づいてがっかりした。





",0,admin,Admin,TRUE,0.15128678,-0.13459562,-0.0655614,-0.07340499,-0.093296595,0.08282781,-0.08250184,-0.036339745,-0.001676254,0.03647578,0.27516967,-0.10794728,-0.07206632,-0.09126654,0.165251,-0.010180314,0.041710105,-0.008736557,-0.05410837,0.042767853,38,4,0,0,29,/posts/post_id/38
41,8,進路,2/8/2023,こんな大学の決め方は絶対NG！先輩が語る、進路選択の後悔体験談1.txt,TRUE,1,"宿題の量だけで選んでしまうと…
高２から文系と理系に分かれるため、高１の冬にはどちらに進むか、決めなければなりませんでした。栄養士になりたいことと、国公立大を志望していることを先生に相談したところ、「文理どちらに進んでも、栄養士にはなれる」とのこと。私は短絡的に「それなら宿題の多い理系はやめて、文系に進もう」と決めてしまいました。しかし、いざ高３になって候補の大学を絞り込んでみると、文系タイプで受験できて栄養士の養成課程がある国公立大は数えるほどしかなく、残りは私立大ばかり。自宅から通うことも条件に加えると、希望の進路を実現できる大学はありませんでした…。受験できる大学をよく調べたうえで、文理を決めるべきでした。",0,admin,Admin,TRUE,0.08728878,-0.08491249,-0.044242114,-0.053243477,-0.08782128,0.12352123,-0.24452314,-0.031539075,0.00745535,-0.031775635,0.15860322,-0.07405632,-0.08305404,-0.023466976,0.25661308,-0.13795783,0.05176476,-0.07423335,-0.103685126,0.030373797,41,8,0,0,25,/posts/post_id/41
