post_id,tfidf_0,tfidf_1,tfidf_2,tfidf_3,tfidf_4,tfidf_5,tfidf_6,tfidf_7,tfidf_8,tfidf_9,tfidf_10,tfidf_11,tfidf_12,tfidf_13,tfidf_14,tfidf_15,tfidf_16,tfidf_17,tfidf_18,tfidf_19
4,0.11265459,-0.06074623,0.01022747,-0.012519787,0.035676207,-0.071352676,-0.20960692,0.11531279,0.1402655,0.15386601,0.18098108,-0.008290573,0.07371701,-0.026516918,-0.016283836,-0.07889968,-0.17531812,0.18079019,-0.16883965,-0.0614417
35,0.07194783,0.03160241,0.26124674,-0.08564351,0.08512959,-0.07511769,-0.19897139,0.10569148,0.041367646,-0.06434578,0.094080634,0.048518214,0.1996469,-0.076903045,0.044108316,-0.064800486,-0.11358937,0.065219685,-0.080268614,0.04741603
37,0.08779024,0.03998115,0.33123517,-0.091431,0.1064548,-0.1714522,-0.24235463,0.21948767,0.13106805,-0.052019853,0.08551541,0.0673192,0.27277005,-0.09563619,0.012642378,0.000844728,-0.25929523,0.22882293,-0.19618128,-0.003282244
43,0.07081048,0.039479077,0.27176943,-0.090667985,0.078964114,-0.07855655,-0.20023564,0.15472022,0.11162328,-0.009687524,0.1083827,0.048424408,0.22357705,-0.06887257,0.044724755,0.009171591,-0.07341855,0.015543336,-0.059388317,0.1560286
45,0.10481774,0.003631362,0.28613824,-0.090711996,0.107999645,-0.113087036,-0.215708,0.1591766,0.07543357,-0.025566213,0.12158429,0.045829315,0.3146944,-0.13500294,0.001540514,-0.0171171,-0.27559412,0.31964478,-0.26081508,-0.016206827
49,0.10016966,-0.040297925,0.26994425,-0.02181576,-0.038663592,0.007533073,-0.009497273,0.005346734,-0.026462141,-0.053851318,0.14510155,0.013336894,0.3090718,-0.10846298,0.022043653,0.03347844,-0.17529501,0.30101398,-0.20535915,-0.10106669
19,0.12525493,-0.11417508,-0.05108894,-0.13208933,-0.013768354,0.1396613,-0.025281498,-0.022392439,-0.066381566,-0.06238844,0.20667769,-0.056348637,-0.078845054,-0.12212122,0.15179938,-0.124732584,0.14889565,-0.027480446,0.043432437,0.011596823
32,0.09907702,-0.10613205,-0.054314096,0.013051559,-0.14344297,0.061020143,-0.12677534,-0.1508933,0.123309046,0.174643,0.19761892,-0.08259538,-0.07193211,0.026263136,0.18778574,0.01895915,-0.053390156,-0.07617261,-0.18074813,0.18598264
38,0.15128678,-0.13459562,-0.0655614,-0.07340499,-0.093296595,0.08282781,-0.08250184,-0.036339745,-0.001676254,0.03647578,0.27516967,-0.10794728,-0.07206632,-0.09126654,0.165251,-0.010180314,0.041710105,-0.008736557,-0.05410837,0.042767853
41,0.08728878,-0.08491249,-0.044242114,-0.053243477,-0.08782128,0.12352123,-0.24452314,-0.031539075,0.00745535,-0.031775635,0.15860322,-0.07405632,-0.08305404,-0.023466976,0.25661308,-0.13795783,0.05176476,-0.07423335,-0.103685126,0.030373797
48,0.11374848,-0.1252309,-0.05782821,-0.14106354,-0.17707324,0.1344512,-0.21593678,-0.027194506,-0.000759799,-0.04127282,0.17394564,-0.08135187,-0.11288644,-0.06797141,0.3708754,-0.121157534,0.057713237,-0.040050417,-0.06233333,-0.07893898
64,0.18823232,-0.19466034,-0.07371554,-0.18741092,-0.08835205,0.05979948,-0.020456059,0.034278568,-0.29967132,-0.15809855,0.3303021,-0.16871004,-0.10048269,-0.14316374,0.17336775,-0.037245505,0.03197711,-0.00629309,0.16939402,-0.14973395
66,0.18233575,-0.18090865,-0.06791216,-0.19164781,-0.08191942,0.06876939,-0.00152912,0.05884074,-0.27069074,-0.1249569,0.31224778,-0.15029952,-0.09267997,-0.14484116,0.15682387,-0.015127014,0.045597527,0.029336812,0.18883568,-0.10545996
72,0.14878345,-0.13623542,-0.041118905,-0.026430804,-0.0887153,0.09731766,0.027911533,-0.10116977,0.013900856,0.109724246,0.24549104,-0.10175364,-0.03362901,0.018167417,0.04893186,0.04310175,0.06634096,0.002577259,-0.091217995,0.053335175
73,0.21237835,-0.20935105,-0.06716121,-0.04273195,-0.2628302,0.038484253,-0.22480021,-0.12535457,0.09646683,0.21593234,0.3450644,-0.16360985,-0.14017463,0.022405654,0.33019587,0.041441057,-0.065210894,-0.038265623,-0.14508182,0.11456078
74,0.23948844,-0.23469912,-0.06650552,-0.08339615,-0.22016658,0.05624696,-0.23732077,-0.11309599,0.09820437,0.25379372,0.352965,-0.17035292,-0.14087723,-0.038358353,0.3170652,-0.002945066,-0.06384204,0.006499343,-0.109222025,0.13499969
77,0.21914227,-0.19321986,-0.07114554,-0.18422629,-0.075862564,0.040429346,-0.1259139,0.049561035,-0.10101566,-0.15195224,0.3435095,-0.1262767,-0.100052044,-0.14605677,0.18865131,-0.07419675,0.011509301,0.04084325,0.072916254,-0.17859882
78,0.18296178,-0.18219742,-0.070620164,-0.15892167,-0.06722124,-0.013941741,-0.08317604,0.06893049,-0.12002091,-0.18328461,0.3087935,-0.14493372,-0.09110703,-0.110883646,0.13672173,-0.044268526,-0.04126499,0.019983431,0.0773311,-0.22649236
84,0.18367758,-0.18422824,-0.054026138,-0.061581664,-0.15385288,0.027042497,-0.119971156,-0.08185745,0.07997249,0.12120845,0.30952755,-0.13992825,-0.087022334,-0.018921476,0.19851974,0.011057552,-0.030233601,-0.030697936,-0.18390186,0.018638529
87,0.18170795,-0.17949998,-0.056938667,-0.15114358,-0.04448593,0.14325713,-0.041818094,0.016947826,-0.058035698,0.06272053,0.271447,-0.14568332,-0.09449658,-0.09552714,0.19952798,-0.08270062,0.04887696,0.07630725,0.034850806,-0.013183142
5,0.08422911,-0.07948707,-0.037019055,-0.06936333,0.004682626,0.029534567,-0.052969296,0.02144792,-0.052240733,0.06504448,0.17707378,-0.06169026,-0.022750549,-0.075634144,0.05654238,-0.0771672,0.006216383,0.000909478,0.06839355,0.19053416
7,0.11239258,-0.098998465,-0.022563595,-0.059339378,0.004009299,0.15858169,0.05522645,0.03333391,-0.08713623,-0.11428889,0.17322399,-0.049014654,-0.039618265,-0.030107727,0.087555885,-0.045606475,0.15186277,0.10524448,0.051966716,-0.13786972
62,0.1841064,-0.106476285,-0.05879793,0.054658107,-0.11850914,-0.037288375,-0.006057356,0.0629916,0.000262314,-0.05953681,0.28647533,-0.059123326,-0.0581844,0.1011852,0.11506311,0.067849554,-0.033739988,-0.052133277,0.014022129,0.11347808
71,0.16523646,-0.12944199,-0.049682654,-0.030934218,0.07778024,0.080557756,0.04278431,-0.007433467,0.033488777,0.09113241,0.29297853,-0.08896223,-0.018289102,-0.037533622,-0.01972502,-0.043501843,0.038440775,0.07923477,-0.0663325,-0.00041895
102,0.16623925,-0.14073552,-0.028386224,-0.06425798,0.02717049,0.008609835,-0.025409505,-0.03513519,-0.038912013,-0.01201711,0.29841346,-0.12622003,-0.057773493,-0.03861213,0.016628187,-0.007602668,-0.036329612,-0.021174435,-0.01144617,-0.00773198
2,0.1904209,0.120358534,-0.027304323,0.008065664,0.001598665,-0.00304264,-0.030456962,0.10770371,-0.014122195,-0.16281231,0.20746706,0.20032868,-0.043076266,-0.014164973,0.002391367,-0.03652843,0.030746276,-0.04241408,0.013043647,0.022204466
27,0.11942631,-0.064795785,-0.04690872,-0.05116066,0.019772483,0.14537275,0.014761033,0.024640279,0.004365031,-0.037346832,0.18721169,-0.037586004,-0.052711356,-0.050170247,0.006968246,-0.002745772,0.044418335,0.08913217,-0.059423137,-0.052843556
25,0.154547,-0.10988382,-0.03479207,0.071905784,-0.11787869,-0.04091699,0.059623737,0.11878127,0.12518626,-0.045537133,0.2984997,-0.09113925,-0.030875584,0.103702255,-0.011951175,0.19472626,-0.030721288,-0.06501612,-0.062038705,0.13133627
46,0.15895377,-0.14842434,-0.042470597,-0.047365494,-0.12707824,-0.030885441,0.009386873,0.075581305,0.1302316,-0.024754895,0.3093375,-0.12501743,-0.06648211,-0.032305602,0.0804216,0.11777927,-0.05917902,0.005682745,-0.06343765,0.17234214
56,0.21628818,0.12909131,-0.039096925,0.000519247,-0.025625253,-0.03962996,0.013708927,0.18185699,-0.047258176,-0.18860503,0.2148864,0.2040889,-0.066788964,-0.009804281,-0.00362806,0.067266524,-0.047880333,0.09583014,0.021769973,-0.16122194
58,0.14217559,0.15983622,-0.01713425,5.13E-05,-0.017372647,-0.09485654,0.058225654,0.08921653,0.015541359,0.044803727,0.14577691,0.22760762,-0.011043944,0.007268825,0.00736762,0.010177219,-0.08594421,-0.017672744,0.106354184,-0.2358071
70,0.19499858,-0.054613918,-0.020003783,0.0792479,0.19056931,0.051984046,-0.01604396,0.095953204,0.030839564,0.051557254,0.29166803,0.025369367,-0.008049119,0.074282676,-0.14537978,-0.037916683,0.06236314,0.22407252,-0.021012029,0.01486496
